Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002021;;75015;13;2;GRDF;ENTRETIEN_RESEAU;Renouvellement du réseau Gaz;Rue de La croix Nivert;Au N°148;2021-08-25;2021-09-09;RESTREINTE;Traversée de chaussée en 3 phases, avec maintien d'une voie de 3,00m dans chaque sens pour chaque phase de travaux.;2;3;;"{""coordinates"": [[[[2.29151113898382, 48.841087452407784], [2.291592971736566, 48.841128130772134], [2.291677327003443, 48.84106130887654], [2.291591375800169, 48.84101939472699], [2.29151113898382, 48.841087452407784]]], [[[2.291592971736566, 48.841128130772134], [2.291592050287186, 48.84112886010034], [2.29159349956246, 48.84112839291638], [2.291592971736566, 48.841128130772134]]]], ""type"": ""MultiPolygon""}";48.84107386334457,2.291593541963738
CP002266;;75008;9;2;CLIMESPACE;RACCORDEMENT_RESEAU;Base vie pour les travaux de Raccordement du 22 Treilhard et de Miromesnil;Avenue de Messine;du 24 au 28;2022-03-30;2022-06-03;RESTREINTE;Maintien de 3.20m;2;2;;"{""coordinates"": [[[2.312506518126047, 48.87669396080865], [2.312447217813855, 48.87667696358077], [2.311873708483692, 48.87694374234526], [2.311904071955528, 48.876966521751775], [2.312506518126047, 48.87669396080865]]], ""type"": ""Polygon""}";48.876816194461725,2.3121920823246596
CP002272;596250;75001;11;1;STV;REAMENAGEMENT_SECTEUR;Inversion du sens de circulation de la rue PERRAULT + création d'une aire piétonne  Pl du Louvre;Rue Perrault + Place du Louvre;;2022-04-04;2022-04-22;SENS_UNIQUE;suppression définitive d'un sens de circulation de la rue Perrault + Mise en impasse de la place du Louvre;2;2;;"{""coordinates"": [[[[2.341546830841108, 48.86034962075122], [2.341919224786277, 48.86043754350515], [2.341859336729033, 48.860410390176106], [2.342058829459989, 48.86039447055455], [2.341374558566119, 48.86024936121596], [2.341115029456231, 48.860184398944625], [2.340994624309916, 48.86005849525818], [2.340940162704125, 48.85996782150491], [2.340883219724129, 48.85986105547956], [2.340695156066821, 48.85939832570427], [2.34066057632138, 48.85945004566472], [2.340610332150348, 48.85945690876246], [2.34080967408488, 48.85988657952987], [2.340950248818831, 48.86013517763042], [2.340996293840562, 48.860248163738355], [2.3411557770458, 48.86028841808468], [2.341546830841108, 48.86034962075122]]], [[[2.341929809451032, 48.86044234307872], [2.341789084801125, 48.86047273968941], [2.34197121707179, 48.860461118046466], [2.341929809451032, 48.86044234307872]]], [[[2.341919224786277, 48.86043754350515], [2.341929809451032, 48.86044234307872], [2.341934896540899, 48.86044124416815], [2.341919224786277, 48.86043754350515]]]], ""type"": ""MultiPolygon""}";48.86005908224672,2.3411465592338283
CP002299;;75009;11;2;Fraicheur de Paris (Clim);RACCORDEMENT_RESEAU;Raccordement réseau 32 rue de Trévise;Rue La Fayette;Du N° 77 au N°78;2022-04-25;2022-06-03;RESTREINTE;"Travaux en 2 Phases
Du 25/04 au 13/05 et du 16/05 au 3/06";2;1;;"{""coordinates"": [[[2.3455729079778322, 48.87636936326444], [2.345670700410193, 48.87639559635399], [2.345749186208741, 48.87629323125672], [2.345648507710481, 48.876266982452286], [2.3455729079778322, 48.87636936326444]]], ""type"": ""Polygon""}";48.876331098870104,2.345660532301397
CP002234;;75012;14;2;RATP HTA;CREATION_RESEAUX;Travaux de prolongement de la ligne 11;Avenue Daumesnil;Angle avenue Ledru-Rollin;2022-02-21;2022-03-07;RESTREINTE;"En 2 phases:
Phase 1: du 21/02 au 28/02: maintien d'une voie de circulation générale de 4,00m
Phase 2: du 28/02 au 07/03: Maintien de la voie BUS + 4,50m de circulation";2;2;;"{""coordinates"": [[[2.372811834694764, 48.84861662556843], [2.37260584680656, 48.84850608677225], [2.372515714238764, 48.848505614091614], [2.372724677353014, 48.84866851923978], [2.372811834694764, 48.84861662556843]]], ""type"": ""Polygon""}";48.84858161729732,2.372672880715306
CP002243;561269;75018;9;2;GRDF;CREATION_RESEAUX;Dévoiement de réseaux pour les travaux du CDG-X;rue de l'Evangile;du 52 au 54;2022-04-25;2022-05-17;BARRAGE_TOTAL;Travaux de Nuit. Fermeture entre Tristan Tzara et rue d'Aubervilliers, toutes les nuits ( Hors samedi et Dimanche ) de 1h00 à 5h00;2;1;;"{""coordinates"": [[[2.369055166558804, 48.895186789074806], [2.369107012637634, 48.895077607104426], [2.368461288455546, 48.89490883149225], [2.368430919091429, 48.895032403152044], [2.369051557806675, 48.89518677006154], [2.369055166558804, 48.895186789074806]]], ""type"": ""Polygon""}";48.89505037562407,2.3687602945809414
CP002287;;75014;12;2;RATP HTA;CREATION_RESEAUX;Déploiement réseau HTA ligne 14;Rue Gazan;"Phase 1:
depuis Face au N°7 jusqu'au Face au N°43";2022-04-25;2022-06-17;RESTREINTE;Maintien de 4.00m. Renvoi des Bus dans la circulation générale;2;1;;"{""coordinates"": [[[[2.33998276257156, 48.82409568617975], [2.340050137453825, 48.82410832104818], [2.341005979498875, 48.82159247802783], [2.34092482203171, 48.82158129393695], [2.33998276257156, 48.82409568617975]]], [[[2.3399824341055693, 48.82409656305963], [2.33998276257156, 48.82409568617975], [2.339978232142871, 48.824094836444786], [2.3399824341055693, 48.82409656305963]]]], ""type"": ""MultiPolygon""}";48.82280923875421,2.3405042171894537
CP001516;;75004;11;1;DCPA;REHABILITATION_IMMEUBLE;Réhabilitation du Théâtre de la Ville;Av Victoria;entre la rue Adolphe Adam et la place du Châtelet.;2019-10-12;2022-08-31;RESTREINTE;Maintien de 2 files de circulation.;1;2;;"{""coordinates"": [[[2.348194904588667, 48.85758814300805], [2.348538612862081, 48.85749840321287], [2.3485077415143563, 48.85744033853477], [2.348163959147377, 48.857536027046024], [2.348194904588667, 48.85758814300805]]], ""type"": ""Polygon""}";48.85751496618234,2.3483539599151326
CP001672;;75001;11;3;LOUVRE-SAINT HONORE;REHABILITATION_IMMEUBLE;;rue Saint Honoré;n°151;2020-07-06;2024-10-30;RESTREINTE;neutralisation du couloir de bus;2;2;;"{""coordinates"": [[[2.33882744984732, 48.86221882650665], [2.338848724880162, 48.86224749833803], [2.3388935462438623, 48.86226797228002], [2.339204784331713, 48.8621828384879], [2.339221466062563, 48.862147237277505], [2.339182099612276, 48.86212322496458], [2.33882744984732, 48.86221882650665]]], ""type"": ""Polygon""}";48.86219684259486,2.3390296759890647
CP001815;;75018;9;3;SCCV Les Sources;CONSTRUCTION_IMMEUBLE;;rue du Professeur Gosset;n°48;2020-12-15;2022-09-30;RESTREINTE;maintien d'une file de circulation au droit de l'emprise avec la mise en place de la circulation alternée.;2;2;;"{""coordinates"": [[[2.346739958066636, 48.90139409090215], [2.347403549201458, 48.901395024037015], [2.347428546496916, 48.90134953258954], [2.346716206328207, 48.90134028122995], [2.346739958066636, 48.90139409090215]]], ""type"": ""Polygon""}";48.90136937040016,2.3470628813286227
CP001764;;75008;9;3;AVRIL;REHABILITATION_IMMEUBLE;Rénovation complète et extension;11/13 rue de Monceau;;2020-11-30;2023-01-31;RESTREINTE;"Maintien de 4m de circulation
Maintien du contre sens cyclable";2;2;;"{""coordinates"": [[[2.306993062665561, 48.87579099688083], [2.30703311608456, 48.875763150457324], [2.306790957047797, 48.8755809054974], [2.306748721026638, 48.875610167356626], [2.306993062665561, 48.87579099688083]]], ""type"": ""Polygon""}";48.87568552856547,2.3068904218853805
CP002277;;75017;9;3;ICF HABITAT;CONSTRUCTION_IMMEUBLE;Zone de livraison (injections carrières) sur trottoir, stationnement et une partie de la chaussée;Stationnement;Entre le 33 et 31 rue Boulay;2022-05-02;2024-06-30;RESTREINTE;3,50 ml restante sur la chaussée circulée;2;1;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/ECH_Paris 17 Rue Boulay_PIC_0.pdf;"{""coordinates"": [[[2.317913944020688, 48.89446123122862], [2.317763203510034, 48.89426049785855], [2.317714270952456, 48.894276875451666], [2.317879117382792, 48.89450267333841], [2.317913912847735, 48.894463610661276], [2.317913944020688, 48.89446123122862]]], ""type"": ""Polygon""}";48.89437712501301,2.31781843317068
CP002177;;75001;11;3;Le Louvre;TRAVAUX_OUVRAGE;Sécurisation accès Louvre;avenue du Général Lemonnier;Accès Tunnel coté quai;2021-11-08;2022-04-15;RESTREINTE;Maintien de 2 voies de 3.50m;2;2;;"{""coordinates"": [[[2.330497590809816, 48.86164343572711], [2.3305248821600832, 48.861624551879224], [2.330253628063234, 48.86126372518793], [2.3300719865033, 48.861096506900125], [2.329962411949886, 48.86106377047929], [2.33039991260546, 48.861677758801434], [2.330497590809816, 48.86164343572711]]], ""type"": ""Polygon""}";48.86139000061877,2.330266557767291
CP002258;563924;75010;11;1;STV;REFECTION_CHAUSSEE;Reprise affaissement de chaussée;Avenue de Verdun;Au N°1;2022-03-28;2022-04-15;BARRAGE_TOTAL;Fermeture  du 1 au 9 et mise en impasse coté Université de 8h30 à 17h00;2;2;;"{""coordinates"": [[[2.361126971728458, 48.87620274996122], [2.361144091636538, 48.87617936510133], [2.361039215706366, 48.876141685330275], [2.361021465253989, 48.87617712148935], [2.361126979494227, 48.876202116871234], [2.361126971728458, 48.87620274996122]]], ""type"": ""Polygon""}";48.87617398612501,2.3610798060091533
CP002197;458502 / 458514;75014;12;2;Eau de Paris;ENTRETIEN_RESEAU;Remplacement de canalisation;Avenue Reille;Le long du réservoir Entre rue St Yves  et Place Jules Hénaffe;2021-12-02;2022-06-24;SENS_UNIQUE;Mise en sens unique depuis rue de la Tombe Issoire vers le carrefour Reille / Coty;1;2;;"{""coordinates"": [[[2.335721260124553, 48.82421471595297], [2.335677197111653, 48.824163471901706], [2.332043923721851, 48.823770127971315], [2.332031281536777, 48.82380495238032], [2.335721260124553, 48.82421471595297]]], ""type"": ""Polygon""}";48.82399663178847,2.33394378186746
CP002163;457934;75009;11;3;BNP;REHABILITATION_IMMEUBLE;;51/53 bd Haussmann / 16/18 rue Auber / 47/49 rue Caumartin;;2021-10-25;2023-03-30;RESTREINTE;Maintien d'une file de circulation sur la rue de Caumartin et réduction d'une sur le bd Haussmann entre Caumartin et Auber.;1;2;;"{""coordinates"": [[[2.328310806581139, 48.87318932853785], [2.328167808124058, 48.87322897834712], [2.327746203305194, 48.87347407998254], [2.32782171140546, 48.873632741040495], [2.328343969910743, 48.87355476979858], [2.328310806581139, 48.87318932853785]]], ""type"": ""Polygon""}";48.87344052287211,2.328085509823654
CP001725;200791;75001;11;3;ELOGIE - SIEMP;REHABILITATION_IMMEUBLE;;rue la Feuillade;N°3;2020-09-01;2021-12-31;RESTREINTE;Neutralisation du couloir de bus, reste une file de circulation;2;4;;"{""coordinates"": [[[2.34019371014991, 48.865944855997306], [2.34026750676195, 48.86595597130486], [2.340484515012957, 48.86590838686097], [2.340506620827214, 48.86587162564544], [2.34019371014991, 48.865944855997306]]], ""type"": ""Polygon""}";48.86591882513646,2.3403650808718726
CP001601;;75016;13;;RIVP;REHABILITATION_IMMEUBLE;Construction d'un ensemble immobilier;Angle des rues Jasmin et Henri Heine;;2020-03-02;2022-03-04;RESTREINTE;;2;2;;"{""coordinates"": [[[2.266003490928231, 48.851639608404106], [2.26600804347493, 48.851700314605225], [2.266155081526483, 48.851757137159126], [2.266265635007745, 48.85171617192915], [2.266468787151373, 48.85150087685271], [2.266434937808103, 48.85147211452545], [2.266229865511135, 48.851695726781735], [2.266155818727619, 48.85170479062004], [2.266003490928231, 48.851639608404106]]], ""type"": ""Polygon""}";48.851649195959176,2.2662363956408473
CP001652;;75018;9;2;SNCF;TRAVAUX_OUVRAGE;Dépose puis reconstruction des ponts;Porte de la Chapelle;;2020-02-21;2024-03-31;RESTREINTE;Circulation modifiée selon les phases. Du 06 au 12/08/21, fermeture totale du carrefour.;1;2;;"{""coordinates"": [[[2.3585578081465233, 48.89985131251321], [2.35973091104885, 48.89984147843579], [2.361085240371426, 48.89833962695765], [2.358593153364847, 48.89830482413131], [2.3585578081465233, 48.89985131251321]]], ""type"": ""Polygon""}";48.89899174665334,2.359530404018589
CP001430;;75017;9;2;SNCF EOLE;TRAVAUX_OUVRAGE;Création d'un puits de service;avenue Carnot;du n° 8 au n°22;2019-07-29;2022-12-31;BARRAGE_TOTAL;Circulation des véhicules dans les contre-allées, inversion de sens de circulation de la rue Anatole de la Forge.;1;2;;"{""coordinates"": [[[2.293696727494663, 48.875383159703915], [2.293522494989716, 48.875328449850954], [2.292641762207998, 48.87635930706683], [2.2928076771991632, 48.87642738896379], [2.293696727494663, 48.875383159703915]]], ""type"": ""Polygon""}";48.87587583811283,2.29316631306729
CP002040;426349;75008;9;3;SCI 74 CHAMPS ELYSEES;REHABILITATION_IMMEUBLE;;57 rue de Ponthieu;;2021-06-22;2022-02-28;RESTREINTE;Maintien d'une file de circulation;2;2;;"{""coordinates"": [[[2.305111691711301, 48.872075843470256], [2.305123764944843, 48.872090190631106], [2.3052541909453392, 48.87204764074062], [2.305269074020214, 48.87206771502464], [2.30546681585482, 48.87200842309781], [2.305469602510664, 48.871961800228114], [2.305462578631118, 48.87194748239931], [2.305098157127807, 48.872062915981154], [2.305111691711301, 48.872075843470256]]], ""type"": ""Polygon""}";48.87202131367398,2.305312573192204
CP002252;529726;75014;12;3;VIRENTO ALESIA;CONSTRUCTION_IMMEUBLE;;Rue des Plantes;AU 73b;2022-03-21;2023-03-31;RESTREINTE;Maintien de 3,50m;2;2;;"{""coordinates"": [[[2.319269090453661, 48.825731712976335], [2.319267645330126, 48.82573201863352], [2.319247824568354, 48.82570430205886], [2.319233805390264, 48.8257108857543], [2.319189191612883, 48.825668117220744], [2.31914815246367, 48.825682794386076], [2.319208783266685, 48.82575040683195], [2.319269090453661, 48.825731712976335]]], ""type"": ""Polygon""}";48.825710788117036,2.319206637868975
CP002100;;75004;11;2;EDP;CREATION_RESEAUX;remplacement de canalisation;rue de Rivoli;du n°32 au n°34;2021-08-30;2022-04-29;RESTREINTE;neutralisation de la coronapiste, ouverture à la circulation générale.;1;2;;"{""coordinates"": [[[2.357055213869297, 48.8561671189479], [2.356749067543028, 48.85625404980015], [2.356784846233512, 48.85632134450341], [2.357433876493112, 48.85613694356754], [2.357304118229659, 48.856104037348786], [2.357055213869297, 48.8561671189479]]], ""type"": ""Polygon""}";48.856205584247185,2.357062768931535
CP000971;;75017;9;2;EOLE;TRAVAUX_OUVRAGE;Création d'une nouvelle gare RER E et percement du tunnel;Porte Maillot;;2017-12-01;2022-12-31;RESTREINTE;Modification de la circulation selon les phases. Mise en place de la circulation à double sens à partir du 22/08/19.;1;2;;"{""coordinates"": [[[2.281210774423776, 48.87845552088945], [2.281843964879394, 48.87865373501512], [2.282215481255645, 48.87869688670718], [2.282837153617556, 48.87860856146873], [2.283414504896833, 48.878356272516456], [2.2838131935890083, 48.87813837032774], [2.284104671821884, 48.87825826638113], [2.284513012907371, 48.87816940837366], [2.284809727429349, 48.877908024490985], [2.284196790497687, 48.87748008722191], [2.283973125710321, 48.877203657401495], [2.283649292202913, 48.87706874432277], [2.28323192005384, 48.87697419484342], [2.282705802296034, 48.876889196273794], [2.282038002575575, 48.87694652539777], [2.281601639658295, 48.877107602060725], [2.281257805187676, 48.87728964055456], [2.280879943659173, 48.87770681143538], [2.280828995219532, 48.87802358330166], [2.280902689786198, 48.87830028726154], [2.281210774423776, 48.87845552088945]]], ""type"": ""Polygon""}";48.877789407689555,2.282615968904837
CP001464;;75017;9;2;SNCF-EOLE;REAMENAGEMENT_VOIRIE;Création d'une zone d'attente pour les camions.;Voie Bj/17;place de Verdun;2019-10-07;2022-06-30;RESTREINTE;modification des files de circulation au droit de la zone.;2;2;;"{""coordinates"": [[[2.281016095809532, 48.8795919530211], [2.280709219808135, 48.87912307890699], [2.280560737854259, 48.878971878195365], [2.280535322133484, 48.87904419517201], [2.280853550479006, 48.879574872236304], [2.281016095809532, 48.8795919530211]]], ""type"": ""Polygon""}";48.87931303758237,2.2807645147463087
CP001872;215168;75010;11;3;SNCF;REHABILITATION_IMMEUBLE;Aire de déchargement;rue La Fayette;du 168 au 174;2021-03-15;2023-12-29;RESTREINTE;neutralisation d'une voie de circulation;2;2;;"{""coordinates"": [[[2.35895287211234, 48.879756493159775], [2.3589676960747052, 48.87978322333163], [2.359676840200636, 48.87996976253706], [2.359709142625614, 48.87992472501219], [2.358962567558234, 48.87973084667135], [2.35895287211234, 48.879756493159775]]], ""type"": ""Polygon""}";48.8798518764629,2.359328862614202
CP001953;;75013;14;2;RATP;TRAVAUX_OUVRAGE;Installation de Base vie pour travaux de création accès RATP;Place d'Italie;Entre bd de l'Hôpital et rue Godefroy;2021-05-06;2023-06-30;RESTREINTE;"Maintien d'une voie de circulation + le contre sens cyclable.
Neutralisation de tout le stationnement";2;2;;"{""coordinates"": [[[2.356266323736409, 48.832131871258746], [2.356607039403807, 48.831867971158424], [2.356542323236257, 48.83184078128571], [2.356251089288552, 48.832048579498334], [2.356266323736409, 48.832131871258746]]], ""type"": ""Polygon""}";48.83197758086676,2.3564113782605487
CP002308;606158;75010;11;;EDP;ENTRETIEN_RESEAU;Puit pour renouvellement conduites EP en DN 100/150/200;chaussée + trottoir;17 rue René Boulanger sur une partie du trottoir et de la chaussée;2022-05-09;2022-09-23;RESTREINTE;Dépose du mobilier pour circuler sur une partie de l'oreille du trottoir face au n°17;2;1;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/RenÃ© Boulanger, CitÃ© Riverin, Bd St Martin.pdf;"{""coordinates"": [[[2.356686635077653, 48.869217246579815], [2.356776989714624, 48.8692610399184], [2.356777722591912, 48.86926009145532], [2.356972344719741, 48.869272558813165], [2.357018769706723, 48.86925186887139], [2.356686635077653, 48.869217246579815]]], ""type"": ""Polygon""}";48.86924846607967,2.3568548687731647
CP002174;;75018;9;3;WO2 Spie Batignolles;REHABILITATION_IMMEUBLE;Emprises pour réhabilitation  aux 94 et 108 rue des Poissonniers. travaux préparatoires dés le 09/11;Rue des poissonniers;94  et 108;2021-11-18;2023-11-30;SENS_UNIQUE;Mise à sens unique de la rue des Poissonniers de la rue Ordener vers et jusqu'à la rue Championnet.;2;2;;"{""coordinates"": [[[2.351560815720167, 48.89131600011575], [2.352434999253723, 48.8930607545227], [2.352435266420568, 48.89303927387635], [2.352435399998316, 48.89302853400265], [2.3527025516809372, 48.89381406226648], [2.352803753899056, 48.89484573219753], [2.353061571719018, 48.89507268366825], [2.352943008026023, 48.894126846870705], [2.352647280146335, 48.89301893809582], [2.3517403820132152, 48.89128474961894], [2.351560815720167, 48.89131600011575]]], ""type"": ""Polygon""}";48.89313157389785,2.3524559018314615
CP002302;607775;75009;11;2;Eau de Paris;ENTRETIEN_RESEAU;Renouvellement Conduite Eau potable-branchement secours Incendie;bd Haussmann;du 44 au 46;2022-05-09;2022-11-30;RESTREINTE;Maintien de 2 voies;2;1;;"{""coordinates"": [[[2.331637371690275, 48.8732534653637], [2.331603171589046, 48.87320172245475], [2.331353779744694, 48.873239984208894], [2.331386585761381, 48.87330759094657], [2.331648091523213, 48.87326146099067], [2.331638591136649, 48.873252675357705], [2.331632686233757, 48.87324471830598], [2.331637371690275, 48.8732534653637]]], ""type"": ""Polygon""}";48.87325341731808,2.3314953973424233
CP002251;560763;75008;9;2;CPCU;RACCORDEMENT_RESEAU;Raccordement du 21b rue Lord Byron;Avenue de Friedland;Au N°43, angle Arsène Houssaye;2022-04-04;2022-07-01;BARRAGE_TOTAL;Barrage de  Arsène Houssaye entre Lord Byron et av. de Friedland.;2;2;;"{""coordinates"": [[[2.298720099056804, 48.874004727516855], [2.298717681948962, 48.874004713356214], [2.298664431640767, 48.87394093929024], [2.298488905599316, 48.87393912563555], [2.298635575923326, 48.87403040676549], [2.298720099056804, 48.874004727516855]]], ""type"": ""Polygon""}";48.87397671799847,2.2986190320857203
CP002210;391060;75014;12;3;P&Ma;RACCORDEMENT_RESEAU;Raccordements de la ZAC St Vincent de Paul;84 av Denfert Rochereau;;2021-11-16;2022-01-10;RESTREINTE;Neutralisation couloir bus;2;2;;"{""coordinates"": [[[2.33451429521576, 48.836788162966215], [2.334814808766019, 48.837080144444435], [2.334897780521662, 48.83701873646301], [2.334639417066448, 48.83675697280701], [2.33451429521576, 48.836788162966215]]], ""type"": ""Polygon""}";48.8369096920096,2.3347137174001005
CP001984;;75018;9;1;;REAMENAGEMENT_SECTEUR;;;;2020-02-21;2024-03-31;RESTREINTE;Réduction de la circulation selon les phases.;1;2;;"{""coordinates"": [[[2.362749344991021, 48.89729874701104], [2.356613648667943, 48.89725874500838], [2.356266873601493, 48.90158897317446], [2.362435136217668, 48.90167212631942], [2.362749344991021, 48.89729874701104]]], ""type"": ""Polygon""}";48.899456809646395,2.359521131723559
CP001594;;75017;9;3;OH4S;CONSTRUCTION_IMMEUBLE;;2 rue du Docteur Paul Brousse;entre la rue Ernest Roche et le bd Bessières;2020-02-03;2021-12-31;RESTREINTE;Maintien d'une file de circulation.;2;2;;"{""coordinates"": [[[2.318516443074405, 48.89575067172272], [2.318535530804402, 48.895533059747166], [2.318409030027272, 48.895547806381536], [2.3183847933857358, 48.895745163268536], [2.318516443074405, 48.89575067172272]]], ""type"": ""Polygon""}";48.89564511387169,2.3184624109333316
CP002300;594335;75015;13;1;DVD;REAMENAGEMENT_VOIRIE;Mise en conformité PMR Bus;rue de Falguière;137 au 139;2022-05-09;2022-06-03;RESTREINTE;;2;1;;"{""coordinates"": [[[2.310378283448886, 48.83649411721892], [2.31033916661359, 48.83650816920841], [2.310442788263069, 48.83668628363654], [2.310487748775726, 48.83666655429322], [2.310378283448886, 48.83649411721892]]], ""type"": ""Polygon""}";48.83659139811215,2.3104135210193104
CP002217;536602;75019;10;1;STEG;CREATION_RESEAUX;Travaux de récupération de chaleur pour alimentation école;Place du Colonel Fabien;;2022-01-10;2022-06-30;RESTREINTE;Travaux par phase avec neutralisation du stationnement;2;2;;"{""coordinates"": [[[2.37046132149663, 48.878297762373066], [2.370522423505629, 48.87829271556173], [2.370541002993024, 48.87810224482077], [2.370426483365149, 48.878149955631315], [2.369745603988914, 48.87792091219327], [2.36971152486523, 48.878046883894065], [2.369753459762959, 48.878280618029876], [2.36987374662796, 48.878428874755905], [2.370032430732576, 48.87809420153592], [2.370032398263065, 48.87809688587123], [2.37046132149663, 48.878297762373066]]], ""type"": ""Polygon""}";48.878149124764484,2.3700286659287206
CP002238;;75014;12;1;STV;REAMENAGEMENT_VOIRIE;Pérenisation Piste Cyclable;Rue Jean Zay;"Entre Avenue du Maine et rue Vercingétorix
Phase 4";2022-02-10;2022-05-25;SENS_UNIQUE;"depuis avenue du Maine vers rue Vercingétorix
Modification des emprises Nuit du 11 au 12/04 au CF Jean Zay/ av. du Maine et et du 2 au 26 rue Jean Zay";2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR STVS Jean Zay - coronapiste phase 3.pdf;"{""coordinates"": [[[2.322679562490394, 48.837749191456574], [2.322761582299834, 48.837540253013], [2.322112071766627, 48.83759011422271], [2.320970273640456, 48.83751938880591], [2.320316130169722, 48.83747430889312], [2.320263275996017, 48.8375546370391], [2.321673595908532, 48.8376280812227], [2.322518115635777, 48.83768997735121], [2.322677760111405, 48.83774918125069], [2.322679562490394, 48.837749191456574]]], ""type"": ""Polygon""}";48.83758927828968,2.321646425866541
CP002261;594389;75010;11;1;STV;REFECTION_CHAUSSEE;;Rue de Paradis;Du 16 au 20;2022-04-25;2022-05-06;RESTREINTE;Travaux en 2 phases. Maintien de 3,00 m;2;1;;"{""coordinates"": [[[2.3538643356642552, 48.8747126547682], [2.353854137329786, 48.874658918335236], [2.353492445023865, 48.87473034859164], [2.353518807331513, 48.87479310995385], [2.353858861460695, 48.874714423892485], [2.3538643356642552, 48.8747126547682]]], ""type"": ""Polygon""}";48.87472491727255,2.3536767292708425
CP002314;601024;75014;12;3;CIRCET;ENTRETIEN_RESEAU;Levage pour maintenance antennes relais;Rue des Marainiers;Depuis la rue Didot vers la rue Huguette Schwartz;2022-05-15;2022-05-15;BARRAGE_TOTAL;Mise en impasse depuis la rue des arbustes > H. Guibert > M-H Da Silva > H. Schwartz;2;1;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/2022-14-066 - CIRCET-15 RUE DES MARINIERS.PDF;"{""coordinates"": [[[2.312282808862928, 48.8269639982615], [2.313005591988337, 48.82640418520157], [2.312957364438373, 48.826371783213624], [2.312218364580353, 48.82693150273485], [2.312220166583301, 48.82693151309844], [2.312282808862928, 48.8269639982615]]], ""type"": ""Polygon""}";48.8266754236833,2.3126060975288754
CP002187;;75020;10;1;Mission Vélo;REAMENAGEMENT_VOIRIE;Pérennisation de la piste cyclable;avenue Gambetta;"depuis rue de la Chine vers Carrefour Saint Fargeau ( Hors carrefour)
Travaux en 2 phases";2022-01-10;2022-04-15;RESTREINTE;Maintien de la circulation BUS, riverains et services depuis St Fargeau vers rue de La Chine.;1;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/Gambetta Est A3.pdf;"{""coordinates"": [[[[2.399944639171664, 48.86657952257625], [2.402090933734171, 48.869058246793216], [2.402436288478309, 48.86946813169309], [2.404276564378603, 48.87156643822498], [2.404276625800568, 48.871561067705954], [2.404285379864142, 48.87150740662237], [2.401553362615851, 48.86837350220553], [2.399995238846312, 48.866534347950484], [2.399944639171664, 48.86657952257625]]], [[[2.399929438723333, 48.86659309383259], [2.399944639171664, 48.86657952257625], [2.399937826633847, 48.86657165428082], [2.399929438723333, 48.86659309383259]]]], ""type"": ""MultiPolygon""}";48.868957649362486,2.402038113223497
CP002205;525106;75018;9;3;TOLOEPLINK;REHABILITATION_IMMEUBLE;;Rue de La Chapelle;Au N°32;2022-01-10;2022-09-30;RESTREINTE;Neutralisation de la voie Bus;2;2;;"{""coordinates"": [[[2.359835207804347, 48.89260740373082], [2.359835213653346, 48.89260692802124], [2.35986251999363, 48.89244051161967], [2.359818410822715, 48.892447413729904], [2.359794841638457, 48.89260338020459], [2.359835207804347, 48.89260740373082]]], ""type"": ""Polygon""}";48.89252399758418,2.3598280693830738
CP002233;564029;75014;12;2;RATP HTA;ENTRETIEN_RESEAU;Changement de 10 câbles et ajout de 7 autres;Rue du Départ à Bd Edgar Quinet;;2022-02-07;2022-04-29;RESTREINTE;Travaux par phases et à l'avancement, une file neutralisée;2;2;;"{""coordinates"": [[[[2.322393536505194, 48.8419381467217], [2.322417938531618, 48.84192231490137], [2.321709994373898, 48.841341072599555], [2.321534764535827, 48.84136960509269], [2.321562842900458, 48.84139928963786], [2.321681042686901, 48.84137848666206], [2.322393536505194, 48.8419381467217]]], [[[2.322417938531618, 48.84192231490137], [2.32243423376622, 48.84193569353094], [2.322752203804227, 48.84187575802707], [2.32327112523289, 48.84168543536404], [2.323255069473613, 48.8416692386886], [2.322446851863354, 48.841903555110086], [2.322417938531618, 48.84192231490137]]]], ""type"": ""MultiPolygon""}";48.841697335561975,2.3223747008250477
CP002237;;75019;10;1;STV;REAMENAGEMENT_VOIRIE;Réfection suite travaux RATP + Réaménagement de la voie;Avenue de la Porte des Lilas;Entre le bd Mortier et rue des Glaïeuls;2022-02-07;2022-10-28;RESTREINTE;Travaux en 3 phases. Maintien de 2 voies de circulation dans chaque sens à chaque phase;1;2;;"{""coordinates"": [[[2.406799024906411, 48.877323817867904], [2.408039149651844, 48.87777014129013], [2.408176447625194, 48.87750509896566], [2.40696478123078, 48.877061602314335], [2.406807193539869, 48.877321174746015], [2.406799024906411, 48.877323817867904]]], ""type"": ""Polygon""}";48.87741512998871,2.4074935777089714
